procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  0      0 366820476 1628808 135325560    0    0     0    16 9671 4737  6  0 94  0  0  0
18  0      0 366828400 1628808 135325588    0    0     0    38 19059 5145 12  0 88  0  0  0
17  0      0 366836156 1628808 135325588    0    0     0    10 19393 4848 13  0 87  0  0  0
65  0      0 366824884 1628808 135325688    0    0     0     6 63832 6356 47  0 53  0  0  0
65  0      0 366827688 1628808 135325692    0    0     0   213 66537 5243 49  0 50  0  0  0
 3  0      0 366842044 1628808 135325748    0    0     0    18 33960 5067 24  0 76  0  0  0
 3  0      0 366851264 1628808 135325752    0    0     0    14 5158 4722  2  0 98  0  0  0
35  0      0 366854428 1628808 135325768    0    0     0    18 8539 7639  3  0 97  0  0  0
33  0      0 366826652 1628812 135325912    0    0     0   298 39298 5873 25  0 75  0  0  0
33  0      0 366825760 1628816 135326968    0    0     0    46 36502 7898 25  0 75  0  0  0
66  0      0 366825320 1628816 135326976    0    0     0    25 56101 4891 41  0 59  0  0  0
66  0      0 366824080 1628816 135327000    0    0     0     7 65099 5719 48  0 52  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
65  0      0 366831440 1628816 135327008    0    0     0    13 65091 5825 48  0 52  0  0  0
 2  0      0 366833640 1628820 135327064    0    0     0   132 67264 5217 50  0 50  0  0  0
67  0      0 366851640 1628820 135327068    0    0     0    34 66465 4901 50  0 50  0  0  0
 9  0      0 366861728 1628820 135327096    0    0     0    22 23496 4912 15  0 84  0  0  0
 9  0      0 366847536 1628820 135327104    0    0     0     3 11427 4949  6  0 94  0  0  0
33  0      0 366838032 1628820 135327128    0    0     0    19 18918 5566 12  0 88  0  0  0
33  0      0 366840704 1628820 135327132    0    0     0    23 35246 5031 25  0 75  0  0  0
33  0      0 366851032 1628820 135327172    0    0     0    14 35576 5029 25  0 75  0  0  0
 6  0      0 366940560 1628824 135327152    0    0     0    70 11252 6081  5  0 95  0  0  0
 5  0      0 366830092 1628836 135328380    0    0     0   281 10694 6589  3  0 96  0  0  0
 3  0      0 366836856 1628844 135328384    0    0     0    16 5519 4758  2  0 98  0  0  0
 2  0      0 366841428 1628852 135328440    0    0     0    18 3447 4785  1  0 99  0  0  0
18  0      0 366843840 1628852 135328440    0    0     0    10 4629 7209  1  0 99  0  0  0
17  0      0 366846240 1628852 135328468    0    0     0     3 18933 2320 13  0 87  0  0  0
17  0      0 366844908 1628852 135328472    0    0     0    26 19334 7843 12  0 88  0  0  0
